car_names,mileages,ratings,reviews,used/certified,price_drop,price,recommend,certified
2017 Chevrolet Silverado 1500 LTZ,48980.0,4.2,(420 reviews),used,300,37991.0,0,0
2021 GMC Yukon Denali,52383.0,4.7,(768 reviews),used,229,89888.0,0,0
2021 Mitsubishi Mirage ES,14599.0,4.0,(33 reviews),used,860,15185.0,1,0
2020 Acura MDX 3.5L,23028.0,4.7,"(1,170 reviews)",acura certified,700,39420.0,1,0
2020 Jeep Grand Cherokee Limited,23967.0,4.6,(478 reviews),used,2109,34750.0,1,0
2015 BMW X5 M Base,28515.0,4.7,(0 reviews),used,1000,45950.0,1,0
2019 Honda CR-V EX,70029.0,4.7,"(2,892 reviews)",used,1346,31074.0,1,0
2020 Ford Edge Sport,11190.0,3.4,"(1,338 reviews)",ford certified,1119,44500.0,1,0
2017 Kia Sorento LX,953.0,4.8,(17 reviews),used,662,21006.0,1,0
2021 Lexus ES 350 F Sport,61582.0,5.0,"(1,210 reviews)",used,511,48377.0,1,0
2020 Kia Telluride EX,21040.0,4.4,(2 reviews),used,4360,46801.0,1,0
2022 Toyota Highlander Hybrid Platinum,36864.0,4.8,(727 reviews),used,2000,62000.0,1,0
2019 Ford Expedition Max Platinum,379.0,4.9,"(1,831 reviews)",used,2508,62998.0,1,0
2022 Tesla Model S Base,35661.0,4.5,(164 reviews),used,1045,108950.0,1,0
2019 Land Rover Range Rover Velar P250 S,2343.0,3.7,(3 reviews),used,156,50500.0,0,0
2019 Lexus RC 300 ,30989.0,4.9,"(3,443 reviews)",used,1287,35998.0,1,0
2021 Tesla Model Y Long Range,37236.0,4.9,"(4,176 reviews)",used,4000,68984.0,1,0
2021 Tesla Model Y Long Range,10689.0,4.6,(871 reviews),used,844,68995.0,1,0
2021 Hyundai Elantra Limited,11852.0,4.2,(70 reviews),used,100,29000.0,1,0
2019 Honda Accord Sport,13655.0,4.7,(848 reviews),used,600,23981.0,1,0
2019 Mazda CX-9 Touring,43809.0,4.5,(8 reviews),used,420,32199.0,1,0
2020 Ford F-150 Lariat,27261.0,3.7,(3 reviews),ford certified,361,52151.0,0,0
2013 BMW 335 i,25706.0,4.4,(107 reviews),used,2997,19650.0,1,0
2012 Mercedes-Benz E-Class E 350,80570.0,4.7,(450 reviews),used,6000,16495.0,1,0
2019 Honda CR-V EX-L,49605.0,4.7,(682 reviews),used,1600,29977.0,1,0
2013 Mercedes-Benz SL-Class SL 550,34795.0,2.0,(34 reviews),used,4000,37426.0,0,0
2018 BMW 320 i xDrive,45281.0,4.4,"(2,734 reviews)",used,1040,23698.0,1,0
2019 Toyota Highlander LE,65946.0,4.3,(903 reviews),used,1250,28995.0,1,0
2021 Tesla Model Y Long Range,65285.0,4.4,(175 reviews),used,700,71999.0,1,0
2015 Toyota Avalon XLE Touring,13060.0,4.7,(235 reviews),used,500,19980.0,1,0
2018 Audi S4 3.0T Premium Plus,63056.0,4.9,(630 reviews),used,1000,41700.0,1,0
2016 Volvo XC60 T6 Premier Plus,21728.0,4.6,"(1,811 reviews)",used,701,25990.0,1,0
2017 Kia Optima EX,58777.0,4.1,(882 reviews),used,6090,17500.0,1,0
2020 Porsche Macan S,30640.0,3.7,(54 reviews),used,2172,67995.0,0,0
2019 Toyota 4Runner Limited,15742.0,4.9,"(3,116 reviews)",toyota certified,500,40887.0,1,0
2021 GMC Yukon Denali,37805.0,4.8,(992 reviews),used,326,84489.0,0,0
2013 Lexus ES 350 Base,13407.0,2.8,(95 reviews),used,1255,14899.0,1,0
2020 Mazda Mazda6 Sport,54767.0,4.5,(15 reviews),used,3700,29998.0,1,0
2010 Lexus ES 350 Base,35332.0,4.6,(922 reviews),used,500,9799.0,1,0
2019 Honda Pilot EX-L,95734.0,4.6,(670 reviews),used,600,36631.0,1,0
2013 Mercedes-Benz S-Class S 550 4MATIC,18074.0,4.7,(660 reviews),used,499,25777.0,1,0
2020 Mercedes-Benz G-Class G 550 4MATIC,84647.0,4.9,(312 reviews),used,153,149990.0,0,0
2019 Mercedes-Benz C-Class C 300,26657.0,4.3,(327 reviews),used,454,42000.0,0,0
2020 Mercedes-Benz CLA 250 Base,16761.0,3.7,(131 reviews),mercedes-benz certified,1500,38995.0,1,0
2021 BMW X3 M AWD,49653.0,4.8,"(1,614 reviews)",used,1000,73980.0,1,0
2021 Mercedes-Benz AMG GLE 53 Base,18108.0,4.7,(155 reviews),used,3000,88998.0,1,0
2020 Honda Accord Sport 1.5T,6356.0,4.0,(0 reviews),used,400,29469.0,1,0
2019 INFINITI QX60 Luxe,41218.0,4.7,(445 reviews),used,2371,30446.0,1,0
2012 Ford Expedition EL King Ranch,48770.0,4.3,(0 reviews),used,497,15999.0,1,0
2017 Cadillac XT5 Luxury,148738.0,4.5,"(1,221 reviews)",used,2990,24497.0,1,0
2020 Acura TLX V6 w/Technology Package,85658.0,4.4,(273 reviews),used,1558,33634.0,1,0
2020 Jeep Grand Cherokee Limited,34181.0,4.9,"(2,421 reviews)",used,770,46529.0,1,0
2020 RAM 1500 Limited,15277.0,4.4,(716 reviews),ram certified,879,53791.0,1,0
2021 Porsche Macan Base,23151.0,4.8,(547 reviews),used,2084,59995.0,1,0
2019 Mercedes-Benz GLC 300 Base 4MATIC,16357.0,4.8,"(1,087 reviews)",used,1000,34885.0,1,0
2020 Lincoln Aviator Reserve AWD,18337.0,2.9,(158 reviews),used,995,59962.0,0,0
2019 Chevrolet Traverse LS,12707.0,4.8,(121 reviews),used,1353,29881.0,1,0
2019 BMW M550 i Xdrive,45498.0,4.8,(42 reviews),used,2000,43948.0,1,0
2021 Porsche Macan GTS,38336.0,3.7,(479 reviews),used,400,86996.0,0,0
2020 Tesla Model Y Long Range,7215.0,4.4,"(1,783 reviews)",used,1500,66900.0,1,0
2020 Lexus IS 350 Base,25801.0,4.5,(54 reviews),used,450,27999.0,1,0
2016 Acura ILX 2.4L,20577.0,4.8,(921 reviews),used,1154,17000.0,1,0
2017 Ford Escape Titanium,67492.0,3.2,(739 reviews),used,267,22977.0,0,0
2017 Lexus GX 460 Base,57282.0,4.7,(720 reviews),used,2243,37672.0,1,0
2019 Mazda CX-5 Touring,81060.0,4.1,(11 reviews),used,904,29998.0,1,0
2019 Mercedes-Benz C-Class C 300 4MATIC,19382.0,4.5,"(1,685 reviews)",used,360,35992.0,1,0
2017 Ford Explorer XLT,13738.0,4.6,(8 reviews),used,1000,26998.0,1,0
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,41961.0,4.3,(660 reviews),used,3051,51477.0,1,0
2018 Mercedes-Benz AMG E 63 S 4MATIC,14210.0,4.0,"(1,038 reviews)",mercedes-benz certified,1930,84995.0,1,0
2020 Lexus RX 450hL Base,12195.0,4.9,(97 reviews),used,900,56500.0,1,0
2020 Jeep Grand Cherokee Limited,11559.0,2.9,(183 reviews),used,1844,43645.0,0,0
2016 Chevrolet Corvette Stingray Z51,44502.0,4.8,(511 reviews),used,1044,58500.0,1,0
2017 Mercedes-Benz E-Class E 300 4MATIC,14163.0,4.7,(42 reviews),used,405,31862.0,1,0
2019 Lexus RX 350 350,13990.0,4.3,"(1,558 reviews)",used,1000,44994.0,1,0
2022 Toyota Highlander Platinum,11711.0,4.4,(71 reviews),toyota certified,300,51988.0,1,0
2016 Toyota Sienna Limited Premium,27070.0,4.6,(160 reviews),used,600,38000.0,1,0
2019 Land Rover Range Rover Velar P250 S,20054.0,4.6,(310 reviews),used,659,49620.0,1,0
2020 Jaguar E-PACE SE,16133.0,4.5,(241 reviews),used,1500,47994.0,1,0
2020 Subaru Forester Premium,21699.0,4.3,(555 reviews),subaru certified,2565,32252.0,1,0
2021 Acura ILX Premium Package,58324.0,4.9,"(1,383 reviews)",used,720,31000.0,1,0
2020 Jaguar E-PACE SE,13054.0,3.2,"(1,760 reviews)",used,1700,46494.0,0,0
2012 Lexus ES 350 Base,24991.0,4.6,(239 reviews),used,400,18992.0,1,0
2021 Toyota Tundra SR5,86690.0,4.7,(61 reviews),used,375,46326.0,0,0
2020 Jeep Grand Cherokee Overland,16258.0,4.2,"(9,077 reviews)",used,500,39590.0,0,0
2019 Honda CR-V EX-L,38679.0,4.5,(86 reviews),used,2000,33125.0,1,0
2016 BMW X5 xDrive50i,22942.0,3.7,(61 reviews),used,500,26600.0,0,0
2021 Acura RDX A-Spec,96200.0,2.7,(20 reviews),acura certified,500,44684.0,0,0
2016 Toyota Prius Two,15490.0,4.8,(450 reviews),used,122,21999.0,1,0
2019 Honda CR-V EX-L,82012.0,4.7,"(1,913 reviews)",used,1000,31499.0,1,0
2020 Toyota Camry SE,21868.0,4.6,(573 reviews),used,1994,28998.0,1,0
2018 Jeep Grand Cherokee Limited,17262.0,4.7,(406 reviews),used,1000,35368.0,1,0
2016 Mercedes-Benz C-Class C 300,19330.0,4.5,(571 reviews),used,200,25745.0,1,0
2020 Volvo V60 T5 Momentum,54442.0,4.5,(363 reviews),used,1001,31988.0,1,0
2020 RAM 1500 Big Horn,32305.0,4.2,(380 reviews),used,500,46998.0,0,0
2021 Mazda CX-5 Grand Touring,22118.0,4.5,(169 reviews),used,1334,29034.0,1,0
2012 Mercedes-Benz S-Class S 550 4MATIC,45935.0,4.6,(163 reviews),used,500,25695.0,1,0
2021 GMC Yukon Denali,59725.0,3.8,(126 reviews),used,111,75900.0,0,0
2003 Chevrolet Express 3500 ,46488.0,4.8,"(1,686 reviews)",used,242,18993.0,1,0
2017 INFINITI Q70L 3.7,19305.0,4.9,(189 reviews),used,708,34606.0,1,0
2021 Toyota RAV4 XLE,30152.0,4.2,(762 reviews),toyota certified,1076,34845.0,1,0
2021 Honda Passport EX-L,4563.0,1.6,(28 reviews),used,993,38666.0,0,0
2019 BMW X5 xDrive40i,17862.0,4.6,(143 reviews),used,2000,42777.0,1,0
2020 Tesla Model Y Long Range,68762.0,2.2,(12 reviews),used,1500,67997.0,0,0
2018 BMW 530e xDrive iPerformance,16500.0,3.4,(24 reviews),used,2356,35998.0,1,0
2019 Honda CR-V EX-L,56158.0,4.8,"(1,862 reviews)",used,1695,25999.0,1,0
2017 Lexus RX 350 350,24000.0,4.8,"(4,891 reviews)",used,7035,36799.0,1,0
2021 Mercedes-Benz S-Class S 580 4MATIC,68291.0,4.8,"(2,800 reviews)",mercedes-benz certified,1343,126883.0,1,0
2019 Honda CR-V EX-L,5559.0,3.9,(67 reviews),used,648,32997.0,1,0
2017 Subaru Forester 2.5i,12996.0,4.8,"(4,636 reviews)",used,1009,14991.0,1,0
2021 Mercedes-Benz C-Class C 300 4MATIC,76782.0,3.6,(21 reviews),mercedes-benz certified,596,43625.0,1,0
2017 Honda Accord LX,9787.0,4.8,(86 reviews),used,1037,21998.0,1,0
2019 BMW X5 xDrive40i,77551.0,4.9,"(4,050 reviews)",used,112,58242.0,0,0
2019 Ford F-150 Lariat,11227.0,3.9,(39 reviews),ford certified,1000,51999.0,1,0
2020 Hyundai Palisade Limited,18621.0,3.7,(144 reviews),used,600,51498.0,0,0
2019 Tesla Model 3 Long Range,10046.0,4.3,"(1,341 reviews)",used,1555,47495.0,1,0
2020 Alfa Romeo Giulia Ti,32109.0,4.0,(8 reviews),used,250,38480.0,0,0
2021 Acura RDX A-Spec,17159.0,4.7,"(1,462 reviews)",used,700,45500.0,1,0
2021 Tesla Model Y Long Range,15341.0,4.0,(964 reviews),used,500,70995.0,0,0
2019 Kia Forte LXS,11646.0,4.8,(777 reviews),used,200,15691.0,1,0
2020 Acura MDX 3.5L w/Technology Package,47624.0,4.6,(128 reviews),used,1937,42888.0,1,0
2019 Mercedes-Benz C-Class C 300,73815.0,4.0,(59 reviews),mercedes-benz certified,2157,31431.0,1,0
2020 Acura RDX A-Spec,19806.0,4.5,(711 reviews),used,400,40771.0,0,0
2021 Toyota Highlander Platinum,30672.0,4.6,(316 reviews),used,1344,53598.0,1,0
2015 BMW X5 xDrive50i,11937.0,4.5,"(1,235 reviews)",used,112,27693.0,1,0
2021 BMW 228 Gran Coupe 228i sDrive Gran Coupe,88710.0,4.7,"(4,336 reviews)",used,1000,42295.0,0,0
2021 Tesla Model Y Long Range,12217.0,4.7,(105 reviews),used,500,71988.0,0,0
2019 Alfa Romeo Stelvio Ti,15407.0,4.1,(8 reviews),used,199,37888.0,0,0
2020 RAM 1500 Laramie,19246.0,4.5,(428 reviews),used,1300,56998.0,1,0
2019 Mercedes-Benz GLA 250 4MATIC,19487.0,4.5,"(2,610 reviews)",used,1000,33845.0,1,0
2021 Toyota 4Runner Limited,18616.0,4.2,"(1,074 reviews)",used,1425,47000.0,1,0
2021 RAM 1500 Laramie,37001.0,3.6,(208 reviews),used,2001,55421.0,0,0
2004 Nissan Pathfinder LE Platinum,18046.0,4.7,"(1,207 reviews)",used,507,3988.0,1,0
2021 Hyundai Palisade Limited,202374.0,4.6,(284 reviews),used,301,44422.0,0,0
2017 Volvo XC60 T6 Dynamic,18521.0,4.3,(180 reviews),used,1990,26799.0,1,0
2019 BMW 330 i xDrive,52021.0,3.7,(3 reviews),used,2665,36999.0,0,0
2017 Audi Q7 3.0T Premium Plus,31096.0,4.7,(848 reviews),used,905,36998.0,1,0
2021 BMW X1 sDrive28i,58731.0,4.4,(11 reviews),used,400,38488.0,0,0
2021 Tesla Model Y Long Range,15892.0,4.7,(768 reviews),used,500,71400.0,0,0
2020 Ford Edge Sport,12045.0,4.8,(144 reviews),ford certified,975,41500.0,1,0
2021 Lexus GX 460 Base,25055.0,4.8,"(5,265 reviews)",used,480,54795.0,0,0
2020 Mercedes-Benz S-Class S 560,19515.0,4.0,(36 reviews),mercedes-benz certified,1431,84893.0,1,0
2021 Jeep Wrangler Unlimited Sahara,11195.0,4.6,"(1,385 reviews)",jeep certified,2400,61500.0,1,0
2018 Jeep Grand Cherokee Limited,17491.0,3.6,(21 reviews),used,100,35507.0,0,0
2019 Tesla Model 3 Standard Range Plus,31958.0,4.3,"(1,341 reviews)",used,442,51998.0,0,0
2019 BMW 740 i,22194.0,4.6,(666 reviews),used,1000,50990.0,1,0
2020 Lexus RX 350 Base,20243.0,4.9,"(2,791 reviews)",used,1038,50020.0,1,0
2020 Cadillac XT5 Sport,17610.0,4.8,"(1,614 reviews)",cadillac certified,643,49492.0,1,0
2019 BMW 430 Gran Coupe i xDrive,16975.0,4.6,(223 reviews),used,500,35980.0,1,0
2019 Mazda CX-5 Grand Touring,33410.0,4.5,(15 reviews),used,1999,29998.0,1,0
2017 GMC Acadia Limited Limited,18410.0,4.9,"(6,653 reviews)",used,400,24997.0,1,0
2019 Honda HR-V EX,38708.0,4.8,"(1,019 reviews)",used,1000,23850.0,1,0
2021 RAM 1500 Longhorn,13289.0,5.0,(2 reviews),used,1585,63000.0,1,0
2019 Dodge Charger R/T,6977.0,4.4,"(1,157 reviews)",used,995,27400.0,1,0
2019 Mercedes-Benz C-Class C 300,76682.0,4.8,"(1,047 reviews)",used,1000,34333.0,1,0
2021 Hyundai Venue SE,15505.0,4.4,(165 reviews),used,3552,18000.0,1,0
2019 Honda Passport Touring,29317.0,4.4,"(1,760 reviews)",honda certified,400,40000.0,1,0
2021 Mercedes-Benz GLA 250 Base,21867.0,4.7,"(1,210 reviews)",used,278,40496.0,0,0
2020 Acura MDX 3.5L Technology & A-Spec Pkgs,14741.0,4.7,"(1,064 reviews)",used,600,46588.0,1,0
2019 BMW 330 i,21460.0,4.1,(134 reviews),bmw certified,300,39988.0,1,0
2018 BMW 330 i xDrive,31958.0,4.4,(515 reviews),used,1474,29000.0,1,0
2018 Cadillac XT5 Luxury,37361.0,4.5,(114 reviews),used,642,31037.0,1,0
2019 Land Rover Range Rover Velar P250 S,24848.0,4.8,"(4,891 reviews)",used,2184,47520.0,1,0
2021 Porsche Macan S,41355.0,4.4,(52 reviews),porsche certified,1500,73498.0,1,0
2021 GMC Yukon Denali,13320.0,4.5,"(1,070 reviews)",used,1000,84994.0,1,0
2020 Mercedes-Benz CLA 250 Base 4MATIC,12623.0,4.8,(409 reviews),used,200,38500.0,0,0
2017 Dodge Challenger R/T,13829.0,4.2,(5 reviews),used,739,35899.0,1,0
2018 BMW X1 xDrive28i,42056.0,4.5,"(1,439 reviews)",used,1800,21991.0,1,0
2019 Alfa Romeo Stelvio Ti,31620.0,4.9,"(4,427 reviews)",used,699,38490.0,1,0
2021 GMC Yukon Denali,12387.0,4.4,(694 reviews),used,500,78395.0,0,0
2014 Volvo S60 T5,45141.0,4.2,"(9,083 reviews)",used,1700,17590.0,1,0
2021 Mazda CX-5 Grand Touring,60439.0,4.8,"(1,491 reviews)",used,398,32289.0,1,0
2020 Mercedes-Benz GLC 300 Base 4MATIC,13621.0,4.7,(926 reviews),mercedes-benz certified,100,37496.0,1,0
2020 Porsche Macan S,14880.0,5.0,(3 reviews),used,500,67180.0,0,0
2015 Audi S4 3.0T Premium Plus,15834.0,3.2,(38 reviews),used,2509,25999.0,1,0
2003 Toyota Highlander V6 (A4),62600.0,4.8,(77 reviews),used,400,7000.0,1,0
2018 Toyota 4Runner Limited,145276.0,2.0,(13 reviews),used,1408,39599.0,0,0
2020 Acura TLX V6 w/Technology Package,58843.0,4.7,"(1,210 reviews)",used,800,35888.0,1,0
2019 Lexus IS 300 IS 300 F SPORT,24989.0,5.0,(3 reviews),used,1125,38998.0,1,0
2019 Mercedes-Benz GLA 250 Base 4MATIC,17150.0,4.5,"(1,227 reviews)",used,2185,36000.0,1,0
2020 Ford F-150 Lariat,16748.0,4.8,(615 reviews),used,450,53997.0,0,0
2020 Mercedes-Benz GLE 450 AWD 4MATIC,20518.0,4.7,"(3,487 reviews)",used,2120,64991.0,1,0
2019 Jeep Grand Cherokee Limited,15430.0,4.5,(513 reviews),used,1403,39591.0,1,0
2019 Jeep Grand Cherokee Limited,37637.0,4.2,(342 reviews),used,12718,31996.0,1,0
2012 Ford Focus SEL,15823.0,4.2,(63 reviews),used,1500,5499.0,1,0
2021 Toyota Avalon TRD,135809.0,4.7,(787 reviews),used,500,43800.0,0,0
2019 Ford F-450 Platinum,19999.0,4.8,"(1,240 reviews)",used,1000,95977.0,1,0
2020 Acura MDX 3.5L,19526.0,5.0,(5 reviews),used,158,37994.0,0,0
2017 Mercedes-Benz C-Class C 300,20803.0,4.8,"(1,174 reviews)",used,198,30999.0,1,0
2017 Dodge Durango R/T,14021.0,4.6,(663 reviews),used,3828,37995.0,1,0
2018 Porsche Panamera Turbo,43915.0,4.7,"(1,124 reviews)",used,500,109995.0,0,0
2018 Jeep Grand Cherokee Limited,24322.0,4.6,(128 reviews),used,2000,34541.0,1,0
2019 BMW 330 i xDrive,48541.0,4.5,(754 reviews),bmw certified,1000,35995.0,1,0
2020 Acura MDX 3.5L w/Technology Package,33522.0,4.7,(742 reviews),used,864,44995.0,1,0
2021 Mercedes-Benz GLE 350 Base 4MATIC,16720.0,4.7,"(1,680 reviews)",used,1529,63878.0,1,0
2017 Audi Q7 3.0T Premium Plus,13564.0,4.8,"(4,891 reviews)",used,287,33895.0,1,0
2019 Volvo XC60 T5 Momentum,63598.0,3.4,(484 reviews),used,400,43962.0,0,0
2021 BMW M340 i xDrive,15638.0,4.7,"(1,680 reviews)",used,1875,56990.0,1,0
2020 Tesla Model Y Long Range,16317.0,4.4,(13 reviews),used,245,65995.0,0,0
2019 Volvo XC60 T5 Momentum,9561.0,4.5,(965 reviews),used,300,42962.0,0,0
2015 Land Rover Range Rover 3.0L Supercharged HSE,33921.0,2.8,(259 reviews),used,1500,45995.0,0,0
2017 Audi Q7 3.0T Premium Plus,55108.0,3.7,(3 reviews),used,900,41595.0,0,0
2020 Tesla Model Y Long Range,21907.0,4.4,"(1,384 reviews)",used,400,65781.0,0,0
2019 BMW M5 Competition,15614.0,4.7,(996 reviews),used,2001,64950.0,1,0
2020 Nissan Rogue SL,74883.0,4.7,(46 reviews),nissan certified,959,32988.0,1,0
2019 Honda CR-V EX-L,18335.0,4.5,(348 reviews),used,540,28499.0,1,0
2018 Cadillac XT5 Luxury,47033.0,4.9,(939 reviews),cadillac certified,590,34293.0,1,0
2019 BMW X5 xDrive40i,47758.0,4.5,(665 reviews),used,999,54995.0,1,0
2019 Acura RDX Technology Package,22037.0,2.3,(15 reviews),used,500,37959.0,0,0
2020 Ford Edge Titanium,49576.0,4.7,(284 reviews),used,1000,35292.0,1,0
2021 Ford Expedition Limited,18610.0,4.8,(860 reviews),used,1000,69495.0,1,0
2020 GMC Acadia SLE,12482.0,4.7,"(1,661 reviews)",used,1000,30990.0,1,0
2019 Volkswagen Golf GTI 2.0T Rabbit Edition 4-Door,47004.0,4.3,(6 reviews),used,200,31999.0,1,0
2021 BMW 530 i xDrive,22700.0,3.7,(3 reviews),used,2659,53995.0,0,0
2020 Nissan Murano SL,10335.0,4.7,"(1,221 reviews)",used,400,34000.0,1,0
2020 Honda Accord EX-L,39277.0,4.9,(131 reviews),used,500,27995.0,1,0
2019 BMW 530 i xDrive,14369.0,2.4,(13 reviews),used,764,32750.0,1,0
2018 GMC Sierra 2500 Denali,45670.0,3.9,(147 reviews),used,400,63997.0,0,0
2021 Toyota Highlander Platinum,38420.0,4.7,(881 reviews),used,550,48741.0,1,0
2021 Toyota Camry SE,64404.0,4.5,(92 reviews),used,500,31998.0,1,0
2018 Ford Escape SE,94998.0,4.3,(6 reviews),used,499,18995.0,0,0
2019 Nissan Rogue SV,37229.0,4.6,(42 reviews),used,1510,22997.0,1,0
2017 Chevrolet Malibu 1LT,46491.0,3.6,(133 reviews),used,595,14995.0,1,0
2008 Honda Accord EX,61303.0,3.5,(19 reviews),used,500,4999.0,0,0
2010 Lexus ES 350 ,200000.0,3.8,(164 reviews),used,500,11981.0,0,0
2021 Honda Pilot Special Edition,132179.0,4.0,(72 reviews),used,1000,41987.0,0,0
2019 Honda CR-V EX-L,14060.0,4.7,"(3,052 reviews)",used,1000,32992.0,1,0
2020 Acura TLX FWD,19238.0,4.7,(434 reviews),acura certified,500,32990.0,1,0
2020 Mercedes-Benz S-Class S 560,16076.0,4.7,"(1,288 reviews)",mercedes-benz certified,1000,76990.0,1,0
2018 BMW X3 xDrive30i,24370.0,4.8,"(1,662 reviews)",used,1055,39995.0,1,0
2014 Lexus IS 250 Base,15479.0,4.0,(60 reviews),used,494,22444.0,1,0
2017 Tesla Model X 100D,46335.0,4.3,"(1,571 reviews)",used,1705,67888.0,1,0
2019 BMW X2 sDrive28i,85281.0,3.6,(12 reviews),used,1200,29998.0,0,0
2021 Lexus RX 350 Base,45999.0,4.7,"(1,997 reviews)",used,500,50488.0,0,0
2019 Honda CR-V EX-L,14411.0,4.2,(762 reviews),used,769,32405.0,1,0
2020 Mercedes-Benz CLA 250 Base 4MATIC,20859.0,4.7,(474 reviews),used,400,44658.0,0,0
2021 Volvo XC60 T5 Inscription,13452.0,4.8,"(1,783 reviews)",used,300,51900.0,0,0
2017 Ford F-250 Lariat,13283.0,4.5,(120 reviews),used,400,60990.0,0,0
2016 BMW X3 xDrive28i,50891.0,4.6,"(1,112 reviews)",used,1199,27287.0,1,0
2013 BMW M6 Base,45985.0,4.6,"(1,055 reviews)",used,2000,36891.0,1,0
2020 Mercedes-Benz GLA 250 Base,57898.0,4.7,(321 reviews),mercedes-benz certified,300,33995.0,1,0
2020 Ford Mustang EcoBoost Premium,14510.0,4.3,"(1,341 reviews)",used,300,33014.0,1,0
2019 Jaguar F-PACE 30t Prestige,38274.0,4.8,(851 reviews),used,170,40880.0,0,0
2017 Toyota Camry SE,32391.0,4.0,(118 reviews),used,1955,23025.0,1,0
2021 Mazda CX-9 Carbon Edition,62670.0,4.7,(739 reviews),used,1463,41990.0,1,0
2008 Mercedes-Benz GL-Class GL 450 4MATIC,11309.0,4.5,"(1,353 reviews)",used,491,9500.0,1,0
2019 Ford Fiesta S,128000.0,2.8,(13 reviews),used,237,17330.0,0,0
2016 Mercedes-Benz AMG GT AMG GT S,12985.0,3.2,(101 reviews),used,112,99999.0,0,0
2018 Chevrolet Suburban LT,16217.0,4.6,"(1,179 reviews)",used,7900,46998.0,1,0
2018 Chevrolet Cruze LT,37386.0,4.7,"(1,661 reviews)",used,2800,13995.0,1,0
2019 Toyota Highlander XLE,46635.0,4.3,(532 reviews),used,157,38998.0,0,0
2019 INFINITI QX50 ESSENTIAL,28695.0,4.4,(312 reviews),infiniti certified,520,35000.0,1,0
2014 Ford Taurus SHO,34254.0,4.3,(281 reviews),used,400,19799.0,1,0
2021 Acura RDX A-Spec,95668.0,4.8,(851 reviews),acura certified,425,44497.0,0,0
2020 Land Rover Range Rover Velar S R-Dynamic,16250.0,4.8,"(1,558 reviews)",used,1000,63885.0,1,0
2019 BMW 330 i xDrive,23964.0,4.7,(833 reviews),used,400,35950.0,1,0
2018 Jeep Grand Cherokee Limited,34994.0,4.7,(434 reviews),used,739,32884.0,1,0
2018 BMW X3 M40i,41990.0,4.4,"(1,721 reviews)",bmw certified,1000,42843.0,1,0
2020 Acura TLX V6 w/Technology Package,54587.0,4.8,(710 reviews),acura certified,368,39500.0,1,0
